id,name,aliases,quality,tags,releaseDate,enabled,deprecated,assetKey,sortOrder,slug,dataVersion,remark,sourceRefs
example-naruto-001,漩涡鸣人,,S,近战|突进,,true,false,,1,naruto,2026.08.1,示例数据,source-project-demo
example-sasuke-002,宇智波佐助,,S,近战|爆发,,true,false,,2,sasuke,2026.08.1,示例数据,source-project-demo
example-kakashi-003,旗木卡卡西,,S,近战|位移,,true,false,,3,kakashi,2026.08.1,示例数据,source-project-demo
example-itachi-004,宇智波鼬,,S,远程|控制,,true,false,,4,itachi,2026.08.1,示例数据,source-project-demo
example-minato-005,波风水门,,S,近战|位移,,true,false,,5,minato,2026.08.1,示例数据,source-project-demo
example-pain-006,佩恩,,S,远程|控制,,true,false,,6,pain,2026.08.1,示例数据,source-project-demo
example-hashirama-007,千手柱间,,S,近战|爆发,,true,false,,7,hashirama,2026.08.1,示例数据,source-project-demo
example-obito-008,宇智波带土,,S,近战|位移,,true,false,,8,obito,2026.08.1,示例数据,source-project-demo
example-jiraiya-009,自来也,,A,近战|爆发,,true,false,,9,jiraiya,2026.08.1,示例数据,source-project-demo
example-tsunade-010,纲手,,A,近战|抓取,,true,false,,10,tsunade,2026.08.1,示例数据,source-project-demo
example-orochimaru-011,大蛇丸,,A,远程|消耗,,true,false,,11,orochimaru,2026.08.1,示例数据,source-project-demo
example-gaara-012,我爱罗,,A,远程|控制,,true,false,,12,gaara,2026.08.1,示例数据,source-project-demo
example-neji-013,日向宁次,,A,近战|突进,,true,false,,13,neji,2026.08.1,示例数据,source-project-demo
example-sakura-014,春野樱,,A,近战|爆发,,true,false,,14,sakura,2026.08.1,示例数据,source-project-demo
example-deidara-015,迪达拉,,A,远程|消耗,,true,false,,15,deidara,2026.08.1,示例数据,source-project-demo
example-sasori-016,蝎,,A,远程|抓取,,true,false,,16,sasori,2026.08.1,示例数据,source-project-demo
example-kisame-017,干柿鬼鲛,,A,近战|消耗,,true,false,,17,kisame,2026.08.1,示例数据,source-project-demo
example-lee-018,李洛克,,B,近战|突进,,true,false,,18,lee,2026.08.1,示例数据,source-project-demo
example-tenten-019,天天,,B,远程|消耗,,true,false,,19,tenten,2026.08.1,示例数据,source-project-demo
example-shikamaru-020,奈良鹿丸,,B,远程|控制,,true,false,,20,shikamaru,2026.08.1,示例数据,source-project-demo
example-choji-021,秋道丁次,,B,近战|抓取,,true,false,,21,choji,2026.08.1,示例数据,source-project-demo
example-ino-022,山中井野,,B,远程|控制,,true,false,,22,ino,2026.08.1,示例数据,source-project-demo
example-kiba-023,犬冢牙,,B,近战|突进,,true,false,,23,kiba,2026.08.1,示例数据,source-project-demo
example-shino-024,油女志乃,,B,远程|消耗,,true,false,,24,shino,2026.08.1,示例数据,source-project-demo
example-hidan-025,飞段,,B,近战|消耗,,true,false,,25,hidan,2026.08.1,示例数据,source-project-demo
example-kakuzu-026,角都,,B,远程|消耗,,true,false,,26,kakuzu,2026.08.1,示例数据,source-project-demo
example-kabuto-027,药师兜,,C,远程|消耗,,true,false,,27,kabuto,2026.08.1,示例数据,source-project-demo
example-shizune-028,静音,,C,近战|消耗,,true,false,,28,shizune,2026.08.1,示例数据,source-project-demo
